# Force and moment coefficients
# dragDir           : (1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# sideDir           : (0.000000000000e+00 1.000000000000e+00 0.000000000000e+00)
# liftDir           : (0.000000000000e+00 0.000000000000e+00 1.000000000000e+00)
# rollAxis          : (1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# pitchAxis         : (0.000000000000e+00 1.000000000000e+00 0.000000000000e+00)
# yawAxis           : (0.000000000000e+00 0.000000000000e+00 1.000000000000e+00)
# magUInf           : 4.000000000000e+01
# lRef              : 1.044000000000e+00
# Aref              : 1.120000000000e-01
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	Cd                  	Cd(f)               	Cd(r)               	Cl                  	Cl(f)               	Cl(r)               	CmPitch             	CmRoll              	CmYaw               	Cs                  	Cs(f)               	Cs(r)               
511                 	3.795754205613e-01	1.899656407043e-01	1.896097798570e-01	5.201363139094e-01	-6.731345398310e-02	5.874497678925e-01	-3.273816109378e-01	1.779304236302e-04	-2.469655020925e-04	7.816748289657e-04	1.438719123904e-04	6.378029165754e-04
512                 	3.790815732192e-01	1.896389234729e-01	1.894426497462e-01	4.941803079716e-01	-5.916884447467e-02	5.533491524462e-01	-3.062589984604e-01	9.813686335049e-05	-1.021198880366e-03	-2.674259609253e-03	-2.358328684992e-03	-3.159309242606e-04
513                 	3.779584424396e-01	1.890250252428e-01	1.889334171969e-01	4.654525906417e-01	-4.855348973290e-02	5.140060803746e-01	-2.812797850538e-01	4.580402295609e-05	-1.898146386075e-03	-6.240324530043e-03	-5.018308651097e-03	-1.222015878946e-03
514                 	3.754179730156e-01	1.876373396903e-01	1.877806333254e-01	4.339296157139e-01	-3.649834609193e-02	4.704279618058e-01	-2.534631539489e-01	-7.164681754384e-05	-2.568887020602e-03	-8.745658976861e-03	-6.941716509033e-03	-1.803942467829e-03
515                 	3.707662270388e-01	1.851339879604e-01	1.856322390784e-01	3.980611323229e-01	-2.449910948349e-02	4.225602418064e-01	-2.235296756450e-01	-2.491255589898e-04	-2.847848885983e-03	-9.672946741048e-03	-7.684322256508e-03	-1.988624484541e-03
516                 	3.643185894660e-01	1.817933452513e-01	1.825252442147e-01	3.615697539757e-01	-1.455940654491e-02	3.761291605206e-01	-1.953442835327e-01	-3.659494817410e-04	-2.633814878924e-03	-8.959873195742e-03	-7.113751476795e-03	-1.846121718946e-03
517                 	3.586694731055e-01	1.790374324662e-01	1.796320406394e-01	3.303259586048e-01	-7.316284125069e-03	3.376422427299e-01	-1.724792634275e-01	-2.973040866142e-04	-1.882289627145e-03	-6.676126356828e-03	-5.220352805559e-03	-1.455773551269e-03
518                 	3.563339014894e-01	1.781008123435e-01	1.782330891459e-01	3.061978504932e-01	-2.891875894898e-03	3.090897263881e-01	-1.559908011415e-01	-6.613840117169e-05	-6.047744005183e-04	-3.200873870925e-03	-2.205211335981e-03	-9.956625349442e-04
519                 	3.572002448767e-01	1.787727650132e-01	1.784274798634e-01	2.912634465436e-01	-1.335578621741e-03	2.925990251654e-01	-1.469673018936e-01	1.726425748921e-04	1.072436119806e-03	1.283760452268e-03	1.714316345940e-03	-4.305558936720e-04
520                 	3.594641986014e-01	1.800135227065e-01	1.794506758950e-01	2.893555394216e-01	-2.423949676671e-03	2.917794890983e-01	-1.471017193875e-01	2.814234057618e-04	2.606659067738e-03	5.772804504348e-03	5.493061319912e-03	2.797431844365e-04
521                 	3.611488007708e-01	1.808203986374e-01	1.803284021333e-01	3.010635963121e-01	-5.610652359358e-03	3.066742486715e-01	-1.561424505154e-01	2.459982520494e-04	3.482922503448e-03	9.130597088821e-03	8.048221047858e-03	1.082376040963e-03
522                 	3.616656562809e-01	1.809866266056e-01	1.806790296753e-01	3.238602088222e-01	-9.972653007690e-03	3.338328618299e-01	-1.719027574188e-01	1.537984651174e-04	3.291278596679e-03	9.969068980210e-03	8.275813086784e-03	1.693255893426e-03
523                 	3.613156889484e-01	1.807804311650e-01	1.805352577833e-01	3.512143977231e-01	-1.597088820108e-02	3.671852859241e-01	-1.915780870626e-01	1.225866908517e-04	2.286291991705e-03	8.358297442465e-03	6.465440712938e-03	1.892856729528e-03
524                 	3.607799951577e-01	1.806425903313e-01	1.801374048265e-01	3.795608894983e-01	-2.287504842802e-02	4.024359379263e-01	-2.126554931772e-01	2.525927524043e-04	7.336997761821e-04	4.723273623330e-03	3.095336587847e-03	1.627937035483e-03
525                 	3.605522101649e-01	1.806707923623e-01	1.798814178025e-01	4.063424729052e-01	-3.050304587886e-02	4.368455187841e-01	-2.336742823315e-01	3.946872798886e-04	-9.753003313658e-04	2.233825593295e-05	-9.641312033993e-04	9.864694593322e-04
526                 	3.608220291177e-01	1.807212266041e-01	1.801008025136e-01	4.346302477540e-01	-3.781095954369e-02	4.724412072977e-01	-2.551260834207e-01	3.102120452247e-04	-2.764658362436e-03	-5.240886858568e-03	-5.385101791721e-03	1.442149331524e-04
527                 	3.610273614561e-01	1.805284415404e-01	1.804989199158e-01	4.625951531340e-01	-4.467442723442e-02	5.072695803684e-01	-2.759720038014e-01	1.476081229665e-05	-4.012343504377e-03	-9.491265892889e-03	-8.757976450821e-03	-7.332894420679e-04
528                 	3.614787870022e-01	1.803972006347e-01	1.810815863674e-01	4.874910285587e-01	-5.097208305181e-02	5.384631116105e-01	-2.947175973312e-01	-3.421928663646e-04	-4.234595689827e-03	-1.135744714852e-02	-9.913319264088e-03	-1.444127884434e-03
529                 	3.630652659480e-01	1.810032154976e-01	1.820620504503e-01	5.088628104588e-01	-5.769922395927e-02	5.665620344181e-01	-3.121306291887e-01	-5.294174763562e-04	-3.034700725151e-03	-9.551636939264e-03	-7.810519194783e-03	-1.741117744481e-03
530                 	3.661939828079e-01	1.826739685166e-01	1.835200142913e-01	5.189683808045e-01	-6.499857727540e-02	5.839669580799e-01	-3.244827676776e-01	-4.230228873490e-04	-7.760300547092e-04	-4.231467746280e-03	-2.891763927849e-03	-1.339703818431e-03
531                 	3.706622499561e-01	1.852684631757e-01	1.853937867803e-01	5.207505477898e-01	-7.195137306033e-02	5.927019208501e-01	-3.323266469552e-01	-6.266180227969e-05	1.844352789421e-03	3.226803601719e-03	3.457754590281e-03	-2.309509885613e-04
532                 	3.752644789522e-01	1.879024367933e-01	1.873620421590e-01	5.201185401748e-01	-7.715034964365e-02	5.972688898184e-01	-3.372096197310e-01	2.701973171534e-04	4.038966996524e-03	1.037938776005e-02	9.228660876549e-03	1.150726883501e-03
