# Force and moment coefficients
# dragDir           : (1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# sideDir           : (0.000000000000e+00 1.000000000000e+00 0.000000000000e+00)
# liftDir           : (0.000000000000e+00 0.000000000000e+00 1.000000000000e+00)
# rollAxis          : (1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# pitchAxis         : (0.000000000000e+00 1.000000000000e+00 0.000000000000e+00)
# yawAxis           : (0.000000000000e+00 0.000000000000e+00 1.000000000000e+00)
# magUInf           : 4.000000000000e+01
# lRef              : 1.044000000000e+00
# Aref              : 1.120000000000e-01
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
#
# Time              	Cd                  	Cd(f)               	Cd(r)               	Cl                  	Cl(f)               	Cl(r)               	CmPitch             	CmRoll              	CmYaw               	Cs                  	Cs(f)               	Cs(r)               
1                   	6.720801375625e-01	3.339365290409e-01	3.381436085216e-01	-5.634058852966e-02	5.368032664059e-02	-1.100209151702e-01	8.185062090542e-02	-2.103539740349e-03	4.547948366381e-03	1.216693868787e-02	1.063141771032e-02	1.535520977556e-03
2                   	1.221623338482e+00	6.090140200510e-01	6.126093184307e-01	5.988054290660e-02	6.094448901293e-02	-1.063946106328e-03	3.100421755963e-02	-1.797649189866e-03	2.593289678711e-03	6.167600357296e-03	5.677089857359e-03	4.905104999373e-04
3                   	1.005466646691e+00	5.026944903271e-01	5.027721563638e-01	1.921299611651e-01	1.058661674759e-02	1.815433444176e-01	-8.547836383498e-02	-3.883301833441e-05	-2.131787905717e-03	-5.983502948031e-03	-5.123539379732e-03	-8.599635682983e-04
4                   	1.832845304581e-01	9.288783488633e-02	9.039669557173e-02	2.798555166367e-01	-6.831462206897e-02	3.481701387057e-01	-2.082423803873e-01	1.245569657300e-03	-5.721584626916e-03	-1.343803782592e-02	-1.244060353987e-02	-9.974342860432e-04
5                   	-3.635861962285e-01	-1.799824879070e-01	-1.836037083215e-01	3.594177221115e-01	-1.213028175771e-01	4.807205396886e-01	-3.010116786329e-01	1.810610207206e-03	-7.370405692996e-03	-1.801217897922e-02	-1.637649518261e-02	-1.635683796615e-03
6                   	-1.422139152975e-01	-6.954263368135e-02	-7.267128161612e-02	4.755949861759e-01	-1.174740543929e-01	5.930690405688e-01	-3.552715474808e-01	1.564323967387e-03	-6.334903910097e-03	-1.916293073277e-02	-1.591636927648e-02	-3.246561456287e-03
7                   	5.939424013236e-01	2.977698881263e-01	2.961725131973e-01	5.807532877048e-01	-7.743485048589e-02	6.581881381907e-01	-3.678114943383e-01	7.986874645094e-04	-3.694194751489e-03	-1.606835608143e-02	-1.172837279220e-02	-4.339983289225e-03
8                   	1.106459863124e+00	5.528919308177e-01	5.535679323064e-01	6.483368165972e-01	-6.858704442552e-02	7.169238610227e-01	-3.927554527241e-01	-3.380007443646e-04	-1.034203018400e-03	-8.523362720506e-03	-5.295884378653e-03	-3.227478341852e-03
9                   	1.010542042897e+00	5.043371358183e-01	5.062049070788e-01	7.049939179261e-01	-1.221752277857e-01	8.271691457118e-01	-4.746721867487e-01	-9.338856302310e-04	-4.027625577684e-04	-1.287724772727e-03	-1.046624944132e-03	-2.410998285952e-04
10                  	5.234230337387e-01	2.610292921680e-01	2.623937415707e-01	7.304162499290e-01	-1.865918121314e-01	9.170080620604e-01	-5.517999370959e-01	-6.822247013798e-04	-8.854922453192e-04	1.659296081905e-03	-5.584420436675e-05	1.715140286272e-03
